state,year,population_2011,district_count,total_cases,cases_per_100k,total_cases_lag1,total_cases_lag2,total_cases_lag3,total_deaths_lag1,cases_per_100k_lag1,cases_per_100k_lag2,cases_per_100k_lag3,deaths_per_100k_lag1,cases_rate_roll3,cases_yoy_change,rate_yoy_change,next_year_cases,next_year_rate,high_risk_next_year,selected_region
Andhra Pradesh,2019,49577103,9,2790,5.627597885257636,6079,15955,21119,0,12.26170879730508,32.18219507501275,42.5982938131742,0.0,29.01406589516401,-0.5410429346932061,-0.5410429346932062,2036,4.106734514116325,0,no
Andhra Pradesh,2020,49577103,15,2036,4.106734514116325,2790,6079,15955,0,5.627597885257636,12.26170879730508,32.18219507501275,0.0,16.690500585858487,-0.27025089605734764,-0.27025089605734764,61,0.12304067060957555,0,no
Andhra Pradesh,2021,49577103,3,61,0.12304067060957555,2036,2790,6079,1,4.106734514116325,5.627597885257636,12.26170879730508,0.002017060173927468,7.332013732226347,-0.9700392927308448,-0.9700392927308448,2023,4.080512731855268,0,no
Andhra Pradesh,2022,49577103,27,2023,4.080512731855268,61,2036,2790,0,0.12304067060957555,4.106734514116325,5.627597885257636,0.0,3.2857910233278456,32.16393442622951,32.16393442622951,852,1.718535268186203,0,no
Andhra Pradesh,2023,49577103,17,852,1.718535268186203,2023,61,2036,0,4.080512731855268,0.12304067060957555,4.106734514116325,0.0,2.770095972193723,-0.578843302026693,-0.5788433020266929,407,0.8209434907884795,0,no
Arunachal Pradesh,2003,1383727,12,34810,2515.6696371466337,46431,56030,46165,0,3355.502927961946,4049.209128679284,3336.279482874874,0.0,3580.330513172035,-0.25028536968835474,-0.25028536968835474,29849,2157.14515941367,1,no
Arunachal Pradesh,2004,1383727,12,29849,2157.14515941367,34810,46431,56030,0,2515.6696371466337,3355.502927961946,4049.209128679284,0.0,3306.793897929288,-0.14251651824188452,-0.14251651824188463,31215,2255.864054108939,1,no
Arunachal Pradesh,2005,1383727,12,31215,2255.864054108939,29849,34810,46431,0,2157.14515941367,2515.6696371466337,3355.502927961946,0.0,2676.1059081740837,0.045763677175114745,0.04576367717511481,46023,3326.017343016361,1,no
Arunachal Pradesh,2006,1383727,14,46023,3326.017343016361,31215,29849,34810,0,2255.864054108939,2157.14515941367,2515.6696371466337,0.0,2309.5596168897478,0.47438731379144644,0.47438731379144655,32072,2317.798236212779,1,no
Arunachal Pradesh,2007,1383727,15,32072,2317.798236212779,46023,31215,29849,205,3326.017343016361,2255.864054108939,2157.14515941367,14.815061063345588,2579.6755188463235,-0.30313104317406514,-0.3031310431740651,35784,2586.0592443451633,1,no
Arunachal Pradesh,2008,1383727,19,35784,2586.0592443451633,32072,46023,31215,36,2317.798236212779,3326.017343016361,2255.864054108939,2.601669259904591,2633.2265444460263,0.11573958593165377,0.11573958593165364,22066,1594.6787191404085,1,no
Arunachal Pradesh,2009,1383727,15,22066,1594.6787191404085,35784,32072,46023,33,2586.0592443451633,2317.798236212779,3326.017343016361,2.384863488245875,2743.2916078581015,-0.38335568969371786,-0.3833556896937178,23023,1663.839760299539,1,no
Arunachal Pradesh,2010,1383727,19,23023,1663.839760299539,22066,35784,32072,15,1594.6787191404085,2586.0592443451633,2317.798236212779,1.0840288582935798,2166.1787332327835,0.043369890329012964,0.04336989032901303,13950,1008.146838213029,1,no
Arunachal Pradesh,2011,1383727,15,13950,1008.146838213029,23023,22066,35784,104,1663.839760299539,1594.6787191404085,2586.0592443451633,7.515933417502152,1948.1925745950368,-0.3940841766928723,-0.3940841766928724,11206,809.8418257358568,1,no
Arunachal Pradesh,2012,1383727,19,11206,809.8418257358568,13950,23023,22066,17,1008.146838213029,1663.839760299539,1594.6787191404085,1.2285660393993902,1422.221772550992,-0.19670250896057348,-0.19670250896057354,8546,617.6073748651287,1,no
Arunachal Pradesh,2013,1383727,17,8546,617.6073748651287,11206,13950,23023,16,809.8418257358568,1008.146838213029,1663.839760299539,1.156297448846485,1160.6094747494749,-0.23737283598072462,-0.23737283598072462,8491,613.6326023847189,1,no
Arunachal Pradesh,2014,1383727,20,8491,613.6326023847189,8546,11206,13950,21,617.6073748651287,809.8418257358568,1008.146838213029,1.5176404016110114,811.8653462713382,-0.006435759419611514,-0.006435759419611523,6323,456.95429806602027,1,no
Arunachal Pradesh,2015,1383727,18,6323,456.95429806602027,8491,8546,11206,11,613.6326023847189,617.6073748651287,809.8418257358568,0.7949544960819583,680.3606009952348,-0.2553291720645389,-0.2553291720645388,5198,375.65213369400175,1,no
Arunachal Pradesh,2016,1383727,23,5198,375.65213369400175,6323,8491,8546,7,456.95429806602027,613.6326023847189,617.6073748651287,0.5058801338703371,562.7314251052893,-0.17792187252886288,-0.177921872528863,2286,165.20599800394152,1,no
Arunachal Pradesh,2017,1383727,22,2286,165.20599800394152,5198,6323,8491,2,375.65213369400175,456.95429806602027,613.6326023847189,0.14453718110581062,482.07967804824693,-0.5602154674874952,-0.5602154674874952,616,44.51745178058967,0,no
Arunachal Pradesh,2018,1383727,19,616,44.51745178058967,2286,5198,6323,0,165.20599800394152,375.65213369400175,456.95429806602027,0.0,332.6041432546545,-0.7305336832895888,-0.7305336832895888,393,28.401556087291787,0,no
Arunachal Pradesh,2019,1383727,25,393,28.401556087291787,616,2286,5198,0,44.51745178058967,165.20599800394152,375.65213369400175,0.0,195.12519449284432,-0.362012987012987,-0.36201298701298695,30,2.1680577165871595,0,no
Arunachal Pradesh,2020,1383727,19,30,2.1680577165871595,393,616,2286,1,28.401556087291787,44.51745178058967,165.20599800394152,0.07226859055290531,79.37500195727432,-0.9236641221374046,-0.9236641221374046,1108,80.07359833261907,0,no
Arunachal Pradesh,2021,1383727,31,1108,80.07359833261907,30,393,616,0,2.1680577165871595,28.401556087291787,44.51745178058967,0.0,25.02902186148954,35.93333333333333,35.93333333333332,16,1.156297448846485,0,no
Arunachal Pradesh,2022,1383727,20,16,1.156297448846485,1108,30,393,0,80.07359833261907,2.1680577165871595,28.401556087291787,0.0,36.88107071216601,-0.9855595667870036,-0.9855595667870036,586,42.3493940640025,0,no
Arunachal Pradesh,2023,1383727,33,586,42.3493940640025,16,1108,30,0,1.156297448846485,80.07359833261907,2.1680577165871595,0.0,27.79931783268424,35.625,35.624999999999986,2,0.14453718110581062,0,no
Assam,2003,31205576,23,76570,245.37281414065228,89601,95142,84915,72,287.1313767770221,304.88781876674864,272.1148297342757,0.2307279955351569,288.04467509268216,-0.14543364471378667,-0.14543364471378664,58134,186.29362906167796,1,no
Assam,2004,31205576,23,58134,186.29362906167796,76570,89601,95142,53,245.37281414065228,287.1313767770221,304.88781876674864,0.16984144115782385,279.1306698948077,-0.24077314875277525,-0.24077314875277514,67885,217.541249679224,1,no
Assam,2005,31205576,23,67885,217.541249679224,58134,76570,89601,54,186.29362906167796,245.37281414065228,287.1313767770221,0.1730459966513677,239.5992733264508,0.16773316819761241,0.16773316819761236,120078,384.79661455375793,1,no
Assam,2006,31205576,21,120078,384.79661455375793,67885,58134,76570,113,217.541249679224,186.29362906167796,245.37281414065228,0.3621147707704546,216.40256429385144,0.7688443691537158,0.7688443691537158,94853,303.96170222911445,1,no
Assam,2007,31205576,23,94853,303.96170222911445,120078,67885,58134,285,384.79661455375793,217.541249679224,186.29362906167796,0.9132983156599962,262.8771644315533,-0.21007178667199652,-0.21007178667199644,64811,207.69044609207023,1,no
Assam,2008,31205576,23,64811,207.69044609207023,94853,120078,67885,152,303.96170222911445,384.79661455375793,217.541249679224,0.4870924350186646,302.09985548736546,-0.31672166404858043,-0.3167216640485804,91413,292.9380313313236,1,no
Assam,2009,31205576,27,91413,292.9380313313236,64811,94853,120078,73,207.69044609207023,303.96170222911445,384.79661455375793,0.23393255102870075,298.81625429164757,0.41045501535233214,0.410455015352332,49964,160.11241067942473,1,no
Assam,2010,31205576,23,49964,160.11241067942473,91413,64811,94853,63,292.9380313313236,207.69044609207023,303.96170222911445,0.20188699609326233,268.1967265508361,-0.4534256615579841,-0.4534256615579841,47397,151.88631672749767,0,no
Assam,2011,31205576,27,47397,151.88631672749767,49964,91413,64811,32,160.11241067942473,292.9380313313236,207.69044609207023,0.10254577579340309,220.24696270093952,-0.05137699143383236,-0.05137699143383237,19261,61.722943361148026,0,no
Assam,2012,31205576,23,19261,61.722943361148026,47397,49964,91413,45,151.88631672749767,160.11241067942473,292.9380313313236,0.14420499720947308,201.645586246082,-0.5936240690339051,-0.5936240690339051,13767,44.117115479618136,0,no
Assam,2013,31205576,25,13767,44.117115479618136,19261,47397,49964,12,61.722943361148026,151.88631672749767,160.11241067942473,0.03845466592252615,124.57389025602349,-0.2852396033435439,-0.2852396033435439,10481,33.58694612783305,0,no
Assam,2014,31205576,23,10481,33.58694612783305,13767,19261,47397,7,44.117115479618136,61.722943361148026,151.88631672749767,0.022431888454806925,85.90879185608794,-0.2386867146073945,-0.23868671460739457,12282,39.358350571705515,0,no
Assam,2015,31205576,25,12282,39.358350571705515,10481,13767,19261,8,33.58694612783305,44.117115479618136,61.722943361148026,0.02563644394835077,46.475668322866404,0.17183474859269154,0.1718347485926914,5520,17.68914632436203,0,no
Assam,2016,31205576,23,5520,17.68914632436203,12282,10481,13767,4,39.358350571705515,33.58694612783305,44.117115479618136,0.012818221974175386,39.0208040597189,-0.550561797752809,-0.5505617977528089,3933,12.603516756107947,0,no
Assam,2017,31205576,25,3933,12.603516756107947,5520,12282,10481,6,17.68914632436203,39.358350571705515,33.58694612783305,0.019227332961263076,30.211481007966867,-0.2875,-0.28750000000000003,3841,12.308697650701914,0,no
Assam,2018,31205576,29,3841,12.308697650701914,3933,5520,12282,0,12.603516756107947,17.68914632436203,39.358350571705515,0.0,23.217004550725164,-0.023391812865497075,-0.023391812865496988,1018,3.2622374924276354,0,no
Assam,2019,31205576,23,1018,3.2622374924276354,3841,3933,5520,2,12.308697650701914,12.603516756107947,17.68914632436203,0.006409110987087693,14.200453577057297,-0.7349648529028898,-0.7349648529028899,487,1.5606185253558533,0,no
Assam,2020,31205576,29,487,1.5606185253558533,1018,3841,3933,3,3.2622374924276354,12.308697650701914,12.603516756107947,0.009613666480631538,9.3914839664125,-0.5216110019646365,-0.5216110019646365,128,0.41018310317361234,0,no
