year,state,total_cases,total_deaths,district_count,population_2011,cases_per_100k,deaths_per_100k,selected_region
2005,Delhi,1133,0,1,16787941,6.748891957626013,0.0,no
2005,Goa,3747,1,2,1458545,256.89985567809015,0.06856147736271422,no
2005,Gujarat,179023,54,26,60439692,296.2010461601955,0.08934526006519027,no
2005,Haryana,33262,0,19,25351462,131.20347852127819,0.0,no
2005,Himachal Pradesh,129,0,10,6864602,1.8792058155738673,0.0,no
2005,Jammu And Kashmir,268,0,10,12267032,2.1847175421079847,0.0,no
2005,Jharkhand,193144,21,22,32988134,585.4953784291042,0.06365925396083331,no
2005,Karnataka,83181,26,31,61095297,136.14959593370992,0.04255646715327368,no
2005,Kerala,2554,6,14,33406061,7.645319213181105,0.017960812560331493,no
2005,Lakshadweep,0,0,1,64473,0.0,0.0,no
2005,Madhya Pradesh,104317,44,45,72626809,143.63428799412074,0.06058368886894094,no
2005,Maharashtra,47608,104,36,112374333,42.3655462319852,0.09254782406583895,no
2005,Manipur,2071,3,11,2855794,72.51923633147209,0.10504959391328647,no
2005,Meghalaya,16816,41,5,2966889,566.7889833424844,1.3819189056280838,no
2005,Mizoram,10741,74,9,1097206,978.9410557361152,6.744403512193699,yes
2005,Nagaland,2987,0,12,1978502,150.9728066992098,0.0,no
2005,Odisha,396573,255,30,41974218,944.8014016604193,0.6075157850469066,yes
2005,Puducherry,44,0,4,1247953,3.5257738071866487,0.0,no
2005,Punjab,1883,0,17,27743338,6.78721500635576,0.0,no
2005,Rajasthan,52286,22,32,68548437,76.27599152990169,0.03209409428255819,no
2005,Sikkim,69,0,4,610577,11.300785977853735,0.0,no
2005,Tamil Nadu,39678,0,42,72147030,54.99602686347588,0.0,no
2005,Tripura,18008,20,4,3673917,490.15805201913923,0.5443781119715007,yes
2005,Uttar Pradesh,105079,0,69,199812341,52.588843849239524,0.0,no
2005,Uttarakhand,1917,0,15,10086292,19.005993481053295,0.0,no
2005,West Bengal,174515,154,19,91276115,191.19459674636678,0.1687188373431538,no
2006,Andaman And Nicobar Islands,18866,22,7,380581,4957.157609024097,5.780635396932585,no
2006,Andhra Pradesh,30654,0,21,49577103,61.830962571572606,0.0,no
2006,Arunachal Pradesh,46023,205,14,1383727,3326.017343016361,14.815061063345588,no
2006,Assam,120078,285,21,31205576,384.79661455375793,0.9132983156599962,no
2006,Bihar,4977,11,40,104099452,4.781004995107947,0.010566818353664341,no
2006,Chhattisgarh,190590,3,16,25545198,746.0893432887073,0.011743890182413149,no
2006,D & N Haveli,3786,0,1,343709,1101.51319866515,0.0,no
2006,Daman & Diu,140,0,2,243247,57.554666655703876,0.0,no
2006,Delhi,928,0,1,16787941,5.527777349229426,0.0,no
2006,Goa,5010,7,2,1458545,343.4930015871982,0.47993034153899944,no
2006,Gujarat,89835,45,26,60439692,148.6357673695624,0.07445438338765856,no
2006,Haryana,47142,0,20,25351462,185.9537726068816,0.0,no
2006,Himachal Pradesh,114,0,10,6864602,1.660693511437371,0.0,no
2006,Jammu And Kashmir,164,0,10,12267032,1.3369167048720505,0.0,no
2006,Jharkhand,193888,4,22,32988134,587.7507348551452,0.012125572183015867,no
2006,Karnataka,62842,32,31,61095297,102.85898110946249,0.05237719034249068,no
2006,Kerala,2131,6,14,33406061,6.379081927677735,0.017960812560331493,no
2006,Lakshadweep,0,0,1,64473,0.0,0.0,no
2006,Madhya Pradesh,96160,56,48,72626809,132.40289821903093,0.07710651310592484,no
2006,Maharashtra,54420,133,36,112374333,48.427428708297654,0.11835442885342864,no
2006,Manipur,2709,8,11,2855794,94.85978330369768,0.28013225043543055,no
2006,Meghalaya,29924,167,5,2966889,1008.5985690735313,5.628791639997317,no
2006,Mizoram,10668,120,9,1097206,972.2877928119241,10.936870560314107,yes
2006,Nagaland,3361,75,12,1978502,169.87599709274997,3.7907467366724927,no
2006,Odisha,380216,257,30,41974218,905.8322420682144,0.6122806147335491,yes
2006,Puducherry,50,0,4,1247953,4.0065611445302824,0.0,no
2006,Punjab,4372,7,21,27743338,15.75873818788496,0.025231282551508402,no
2006,Rajasthan,90158,51,30,68548437,131.52451601485822,0.07439994583683944,no
2006,Sikkim,6986,0,6,610577,1144.1636353809592,0.0,no
2006,Tamil Nadu,28203,0,40,72147030,39.091006241005346,0.0,no
2006,Tripura,23717,31,6,3673917,645.5507840814041,0.8437860735558261,yes
2006,Uttar Pradesh,90923,0,67,199812341,45.50419635992353,0.0,no
2006,Uttarakhand,2886,5,17,10086292,28.61309190731341,0.04957223130165179,no
2006,West Bengal,158179,198,18,91276115,173.2972530656021,0.21692421944119772,no
2007,Andhra Pradesh,27803,2,23,49577103,56.0803240157054,0.004034120347854936,no
2007,Arunachal Pradesh,32072,36,15,1383727,2317.798236212779,2.601669259904591,no
2007,Assam,94853,152,23,31205576,303.96170222911445,0.4870924350186646,no
2007,Bihar,1595,1,38,104099452,1.5321886612813291,0.0009606198503331219,no
2007,Chandigarh,340,0,1,1055450,32.21374769055853,0.0,no
2007,Chhattisgarh,147525,0,16,25545198,577.5057997201666,0.0,no
2007,D & N Haveli,3780,0,1,343709,1099.7675359097375,0.0,no
2007,Daman & Diu,99,0,2,243247,40.69937142081917,0.0,no
2007,Delhi,182,0,1,16787941,1.084111505991116,0.0,no
2007,Goa,9755,11,2,1458545,668.8172116732771,0.7541762509898564,no
2007,Gujarat,71121,73,32,60439692,117.67267113141477,0.12078155527331277,no
2007,Haryana,30895,0,20,25351462,121.86673888866842,0.0,no
2007,Himachal Pradesh,104,0,10,6864602,1.5150186420130403,0.0,no
2007,Jammu And Kashmir,240,1,10,12267032,1.9564634705444643,0.008151931127268601,no
2007,Jharkhand,184878,31,22,32988134,560.4378835129019,0.09397318441837298,no
2007,Karnataka,49355,18,31,61095297,80.78363216730087,0.02946216956765101,no
2007,Kerala,1927,6,14,33406061,5.768414300626464,0.017960812560331493,no
